px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	1	3.14159	0	0.312243	0.58034	0.6	0.6	5.19994	0	0
0.732829	0.669408	-2.00909	-2.66335	-0.0809189	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	67.6242
0.877697	0.654636	-1.86244	-3.14564	-0.0841591	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	6.81756
1.05995	0.502264	-3.71084	-2.40847	-0.0435302	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	24.4342
1.34997	0.639829	-4.00019	-2.7588	-0.0626296	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	6.14798
1.71743	0.574788	-4.98308	3.00108	-0.107245	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	9.65478
2.0166	0.565201	-5.0621	2.98573	-0.0916679	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	2.14934
2.24273	0.605457	-5.09949	3.1144	0.0170376	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	2.26
2.52937	0.610522	-5.1478	3.11484	0.0344059	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	1.05532
2.80224	0.614617	-5.20621	3.12921	0.0743568	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.509242
3.05173	0.6179	-5.1905	3.1409	0.0845375	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.10812
3.34003	0.548803	-5.25455	3.07748	-0.0462233	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	2.05747
3.6554	0.473954	-5.33902	3.01522	-0.161856	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	4.68209
3.93655	0.531225	-5.36283	3.09826	0.0633657	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	3.27899
4.22051	0.535432	-5.3813	3.11466	0.0982549	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.531113
4.4803	0.576164	-5.34582	-3.12456	0.181764	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	1.32194
4.67933	0.686239	-5.24659	-3.02587	0.358858	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	8.75977
4.93294	0.69618	-5.2111	-3.02463	0.331307	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	2.67655
5.243	0.696771	-5.27411	-3.0351	0.284033	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	4.2016
5.50183	0.708851	-5.2834	-3.03429	0.25814	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.24151
5.80327	0.723451	-5.32825	-3.0343	0.237317	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	2.53387
6.05115	0.661689	-5.27913	-3.08397	0.137317	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	5.35121
6.31293	0.770874	-5.28168	-3.01572	0.234724	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	2.18197
6.56475	0.812212	-5.25538	-2.99859	0.244161	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.738929
6.82088	0.804895	-5.24862	-3.01438	0.202969	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.625558
7.06933	0.799534	-5.19686	-3.02592	0.174071	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	4.88909
7.29681	0.877901	-5.16962	-2.98853	0.213763	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	1.78861
7.5846	0.894319	-5.2196	-2.99414	0.190479	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	4.02699
7.84203	0.862865	-5.21122	-3.02283	0.1402	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	1.43134
8.09506	0.889291	-5.17776	-3.0178	0.138341	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	3.16465
8.33894	0.897472	-5.1618	-3.0228	0.123262	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.625872
8.60022	0.991912	-5.20081	-2.98541	0.162037	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	5.13794
8.84092	1.04102	-5.18567	-2.97253	0.168102	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.469917
9.12607	1.08427	-5.21995	-2.96691	0.164202	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	6.63908
9.36726	1.1074	-5.20071	-2.96887	0.151864	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.838775
9.64152	1.18377	-5.23185	-2.94816	0.167396	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	3.99662
9.91234	1.29925	-5.2579	-2.91055	0.202901	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	2.28723
10.1628	1.39391	-5.2347	-2.88238	0.22761	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	4.56642
10.3925	1.46646	-5.21239	-2.86722	0.232584	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	1.05651
10.6286	1.55816	-5.16835	-2.84154	0.254706	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	4.58685
10.8614	1.58224	-5.14157	-2.85208	0.226823	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	1.88515
11.1244	1.63665	-5.15721	-2.85215	0.212104	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	1.83643
11.4042	1.67242	-5.18032	-2.86276	0.185718	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	2.00545
11.6383	1.7347	-5.14859	-2.85508	0.185902	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	1.30745
11.8724	1.79258	-5.13153	-2.85164	0.179009	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.569923
12.1242	1.88237	-5.15484	-2.83771	0.183341	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0.997306
12.3702	1.90542	-5.13824	-2.8535	0.153043	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	1.05778
12.6234	1.96568	-5.15497	-2.85429	0.140816	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.901167
12.8256	2.09531	-5.12846	-2.81684	0.178266	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	3.35712
13.0861	2.19812	-5.17593	-2.80404	0.17893	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	3.33902
13.2902	2.33556	-5.15402	-2.76737	0.213	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	2.5698
13.4764	2.48437	-5.09281	-2.72103	0.263194	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	11.1638
13.7243	2.59481	-5.11109	-2.70793	0.262758	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.682934
13.945	2.70945	-5.09647	-2.68918	0.27163	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.319981
14.1721	2.85871	-5.1111	-2.65954	0.290646	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.507957
14.4186	2.96301	-5.14258	-2.6598	0.266778	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	1.39503
14.6283	3.03793	-5.10487	-2.66309	0.247878	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	2.38368
14.8565	3.18472	-5.13509	-2.64244	0.253241	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	3.84767
15.0609	3.37463	-5.14929	-2.59842	0.290391	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	1.24559
15.2725	3.53867	-5.14797	-2.56724	0.313779	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	2.52333
15.4832	3.72424	-5.16852	-2.53258	0.335734	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.763011
15.6961	3.8571	-5.16106	-2.52299	0.327469	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.926255
15.9165	4.00121	-5.1674	-2.51194	0.320931	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.197092
16.1135	4.16717	-5.14882	-2.48272	0.344533	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	1.81036
16.3097	4.36086	-5.16587	-2.45085	0.361197	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.458941
16.5195	4.52208	-5.17567	-2.43861	0.352721	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.632873
16.6983	4.69374	-5.16355	-2.4159	0.359169	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.482274
16.8525	4.89718	-5.12378	-2.36397	0.417484	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	4.92341
17.0169	5.11925	-5.1405	-2.32445	0.438652	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.575431
17.1863	5.29713	-5.12171	-2.30145	0.445613	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	1.86365
17.3477	5.47944	-5.10852	-2.28068	0.44448	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.27501
17.5025	5.66032	-5.08096	-2.25523	0.456386	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	3.53144
17.6995	5.78698	-5.04996	-2.26667	0.418251	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	2.16263
17.8393	5.99548	-5.03293	-2.22737	0.451059	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	1.42742
18.0163	6.17926	-5.0359	-2.21779	0.435916	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.67558
18.1623	6.39178	-5.0409	-2.19076	0.443216	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.593944
18.2855	6.62108	-5.04782	-2.15549	0.458001	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.388539
